trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes,security,mkt,open,high,low,close,net_trdval,net_trdqty,trades,ind_sec,corp_ind,hi_52_wk,lo_52_wk,pd_source_file,pd_mapped,_pd_lookup_key
2026-03-20,TRENT,gainer_loser,gainer_loser,2.23,      3481.90,3559.6,,{},TRENT LTD,N,      3509.00,      3598.00,      3506.40,      3559.60,               2979104029.80,837217,63101,Y, ,      6261.00,      3427.90,pd20032026.csv,True,TRENT
2026-03-20,RELIANCE,"gainer_loser,top_turnover",gainer_loser,2.14,      1384.80,1414.4,32628466606.5,{},RELIANCE INDUSTRIES LTD,N,      1398.00,      1430.00,      1396.10,      1414.40,              32628466606.50,22994918,315139,Y, ,      1611.80,      1114.85,pd20032026.csv,True,RELIANCE
2026-03-20,BAJAJ-AUTO,gainer_loser,gainer_loser,2.06,      8868.50,9051.0,,{},BAJAJ AUTO LIMITED,N,      8957.50,      9110.00,      8931.50,      9051.00,               3222948249.50,356410,40618,Y, ,     10187.00,      7089.35,pd20032026.csv,True,BAJAJ-AUTO
2026-03-20,HINDALCO,gainer_loser,gainer_loser,-2.54,       897.05,874.25,,{},HINDALCO  INDUSTRIES  LTD,N,       884.95,       907.50,       870.00,       874.25,               8905928964.00,10063637,204546,Y, ,      1029.80,       546.45,pd20032026.csv,True,HINDALCO
2026-03-20,HDFCBANK,"gainer_loser,top_turnover",gainer_loser,-2.22,       798.20,780.45,80865860514.3,{},HDFC BANK LTD,N,       785.00,       793.75,       778.20,       780.45,              80865860514.30,103129469,963682,Y, ,      2037.70,       770.00,pd20032026.csv,True,HDFCBANK
2026-03-20,JINDALSTEL,gainer_loser,gainer_loser,4.25,      1138.10,1186.5,,{},JINDAL STEEL LIMITED,N,      1144.10,      1196.00,      1144.10,      1186.50,               2367771889.40,1998983,53737,N, ,      1272.10,       770.00,pd20032026.csv,True,JINDALSTEL
2026-03-20,BANKBARODA,gainer_loser,gainer_loser,2.7,       272.60,279.95,,{},BANK OF BARODA,N,       275.85,       283.80,       275.25,       279.95,               2641781253.60,9423497,61560,N, ,       325.50,       204.30,pd20032026.csv,True,BANKBARODA
2026-03-20,CANBK,gainer_loser,gainer_loser,2.65,       132.92,136.44,,{},CANARA BANK,N,       134.50,       139.84,       134.50,       136.44,               4207822060.30,30539089,112143,N, ,       162.89,        82.17,pd20032026.csv,True,CANBK
2026-03-20,PIDILITIND,gainer_loser,gainer_loser,2.48,      1308.90,1341.3,,{},PIDILITE INDUSTRIES LTD,N,      1321.10,      1354.80,      1321.10,      1341.30,               1206144528.30,898444,42873,N, ,      3149.90,      1303.90,pd20032026.csv,True,PIDILITIND
2026-03-20,DIVISLAB,gainer_loser,gainer_loser,2.13,      5972.50,6100.0,,{},DIVI S LABORATORIES LTD,N,      6050.00,      6180.00,      6030.50,      6100.00,               1729474421.00,283471,24582,N, ,      7071.50,      4955.00,pd20032026.csv,True,DIVISLAB
