trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,SHAILY,gainer_loser,gainer_loser,4.57,2294.2,2399.0,,{}
2026-03-20,SDBL,gainer_loser,gainer_loser,4.55,71.41,74.66,,{}
2026-03-20,MAHABANK,gainer_loser,gainer_loser,4.55,62.64,65.49,,{}
2026-03-20,DGCONTENT,gainer_loser,gainer_loser,4.54,22.93,23.97,,{}
2026-03-20,SAMBHV,gainer_loser,gainer_loser,4.5,90.41,94.48,,{}
2026-03-20,LAURUSLABS,gainer_loser,gainer_loser,4.48,944.9,987.2,,{}
2026-03-20,IDEA,gainer_loser,gainer_loser,4.47,8.94,9.34,,{}
2026-03-20,SAGILITY,gainer_loser,gainer_loser,4.47,37.39,39.06,,{}
2026-03-20,ORISSAMINE,gainer_loser,gainer_loser,4.45,3450.3,3604.0,,{}
2026-03-20,RENUKA,gainer_loser,gainer_loser,4.45,23.81,24.87,,{}
2026-03-20,LYKALABS,gainer_loser,gainer_loser,4.43,52.62,54.95,,{}
2026-03-20,HONASA,gainer_loser,gainer_loser,4.42,276.95,289.2,,{}
2026-03-20,GOKUL,gainer_loser,gainer_loser,4.4,41.11,42.92,,{}
2026-03-20,IVALUE,gainer_loser,gainer_loser,4.4,225.46,235.38,,{}
2026-03-20,VERANDA,gainer_loser,gainer_loser,4.4,131.74,137.53,,{}
2026-03-20,ASTRON,gainer_loser,gainer_loser,4.39,3.87,4.04,,{}
2026-03-20,MGEL,gainer_loser,gainer_loser,4.38,10.05,10.49,,{}
2026-03-20,CHENNPETRO,gainer_loser,gainer_loser,4.36,1020.3,1064.75,,{}
2026-03-20,TREL,gainer_loser,gainer_loser,4.35,24.16,25.21,,{}
2026-03-20,KANORICHEM,gainer_loser,gainer_loser,4.32,60.37,62.98,,{}
2026-03-20,DCI,gainer_loser,gainer_loser,4.32,270.8,282.5,,{}
2026-03-20,NITIRAJ,gainer_loser,gainer_loser,4.32,208.94,217.96,,{}
2026-03-20,OAL,gainer_loser,gainer_loser,4.29,242.25,252.65,,{}
2026-03-20,PWL,gainer_loser,gainer_loser,4.29,86.25,89.95,,{}
2026-03-20,LOTUSEYE,gainer_loser,gainer_loser,4.18,104.7,109.08,,{}
2026-03-20,FORCEMOT,gainer_loser,gainer_loser,4.17,20720.0,21585.0,,{}
2026-03-20,TRU,gainer_loser,gainer_loser,4.17,5.99,6.24,,{}
2026-03-20,IDBI,gainer_loser,gainer_loser,4.15,70.16,73.07,,{}
2026-03-20,HEXT,gainer_loser,gainer_loser,4.12,422.05,439.45,,{}
2026-03-20,BHEL,gainer_loser,gainer_loser,4.09,251.75,262.05,,{}
2026-03-20,LINC,gainer_loser,gainer_loser,4.09,98.83,102.87,,{}
2026-03-20,ETHOSLTD,gainer_loser,gainer_loser,4.08,2149.3,2237.0,,{}
2026-03-20,VIPIND,gainer_loser,gainer_loser,4.05,323.55,336.65,,{}
2026-03-20,VERTOZ,gainer_loser,gainer_loser,4.04,36.16,37.62,,{}
2026-03-20,ANANTRAJ,gainer_loser,gainer_loser,4.03,447.8,465.85,,{}
2026-03-20,HINDCOPPER,gainer_loser,gainer_loser,4.03,470.5,489.45,,{}
2026-03-20,PREMIERPOL,gainer_loser,gainer_loser,4.02,57.64,59.96,,{}
2026-03-20,ELECTCAST,gainer_loser,gainer_loser,4.02,71.94,74.83,,{}
2026-03-20,XPROINDIA,gainer_loser,gainer_loser,4.0,966.35,1005.0,,{}
2026-03-20,DPABHUSHAN,gainer_loser,gainer_loser,4.0,986.1,1025.5,,{}
2026-03-20,VINCOFE,gainer_loser,gainer_loser,3.99,126.78,131.84,,{}
2026-03-20,EIMCOELECO,gainer_loser,gainer_loser,3.98,1505.7,1565.7,,{}
2026-03-20,TARIL,gainer_loser,gainer_loser,3.96,274.3,285.15,,{}
2026-03-20,GLENMARK,gainer_loser,gainer_loser,3.94,2097.5,2180.1,,{}
2026-03-20,JAIBALAJI,gainer_loser,gainer_loser,3.94,62.23,64.68,,{}
2026-03-20,RUCHIRA,gainer_loser,gainer_loser,3.91,99.06,102.93,,{}
2026-03-20,NAHARSPING,gainer_loser,gainer_loser,3.9,202.63,210.54,,{}
2026-03-20,BANG,gainer_loser,gainer_loser,3.88,33.49,34.79,,{}
2026-03-20,GHCLTEXTIL,gainer_loser,gainer_loser,3.84,72.89,75.69,,{}
